district,medianhouseholdincome,meanhouseholdincome,medianfamilyincome,meanfamilyincome
Campbell Independent School District,45000,61325,50703,66706
Canadian Independent School District,67083,82566,68348,86983
Canton Independent School District,46158,64788,68167,82766
Canutillo Independent School District,51706,71057,53810,72193
Canyon Independent School District,69316,83376,83973,96543
Carlisle Independent School District,41750,57043,47464,61979
Carrizo Springs Consolidated Independent School District,32204,54900,40625,57813
Carroll Independent School District,184344,250768,194604,258739
Carrollton-Farmers Branch Independent School District,62336,80215,72641,91777
Carthage Independent School District,49873,64505,57619,76947
Castleberry Independent School District,38056,50101,47301,55253
Cayuga Independent School District,55972,60491,63443,69432
Cedar Hill Independent School District,66023,77144,76004,86370
Celeste Independent School District,51295,64508,60284,71784
Celina Independent School District,93172,106427,104167,116827
Center Independent School District,31965,47495,41888,54924
Center Point Independent School District,52193,94966,59133,108604
Centerville Independent School District (Leon County),49643,63635,68839,72674
Centerville Independent School District (Trinity County),47500,75278,56875,87035
Central Heights Independent School District,63008,68834,76250,75721
Central Independent School District,52800,58647,56441,64869
Channelview Independent School District,54967,65035,55764,64280
Channing Independent School District,43214,50782,47656,51933
Chapel Hill Independent School District (Smith County),45852,66716,56798,76435
Chapel Hill Independent School District (Titus County),57589,76601,66766,82614
Charlotte Independent School District,30385,46121,35729,53833
Cherokee Independent School District,50114,78748,63393,72539
Chester Independent School District,46932,64781,62188,75503
Chico Independent School District,49347,65334,57588,66662
Childress Independent School District,37229,51388,53250,61031
Chillicothe Independent School District,48988,59963,52163,66266
Chilton Independent School District,42981,47732,44831,57509
China Spring Independent School District,72553,92535,87050,103050
Chireno Independent School District,41083,58372,54342,71050
Chisum Independent School District,46078,65858,50278,70403
Christoval Independent School District,74500,94512,76991,105562
Cisco Independent School District,37034,48572,42188,56961
City View Independent School District,49481,54837,57695,58875
Clarendon Independent School District,41164,56169,53403,63724
Clarksville Independent School District,32240,45722,39408,50956
Claude Independent School District,64886,74636,79688,88508
Clear Creek Independent School District,81306,103428,100240,119099
Cleburne Independent School District,51946,66247,58710,74830
Cleveland Independent School District,40541,52623,45076,55655
Clifton Independent School District,45453,66218,56364,78483
Clint Independent School District,38436,45344,38522,46230
Clyde Consolidated Independent School District,46576,64263,64664,85415
Coahoma Independent School District,56625,70364,72170,86412
Coldspring-Oakhurst Consolidated Independent School District,48452,64477,59632,75728
Coleman Independent School District,42686,59234,46913,70321
College Station Independent School District,39225,65904,74697,99408
Collinsville Independent School District,57083,71550,59922,77994
Colmesneil Independent School District,46181,54692,54471,62616
Colorado Independent School District,51409,60856,62026,71955
Columbia-Brazoria Independent School District,55574,70017,62820,78598
Columbus Independent School District,41909,62188,48912,71646
Comal Independent School District,77976,99577,89442,109441
Comanche Independent School District,38926,51493,46315,61183
Comfort Independent School District,59879,70860,71938,79981
Commerce Independent School District,28292,50455,57885,69596
Community Independent School District,73716,84207,77556,89310
Como-Pickton Consolidated Independent School District,42841,53677,50417,61773
Comstock Independent School District,53750,72384,92750,81259
Connally Independent School District,33814,49432,40742,54000
Conroe Independent School District,73849,107865,90479,124543
Coolidge Independent School District,29306,41815,31765,45922
Cooper Independent School District,41887,53228,51346,62132
Coppell Independent School District,120886,148186,133279,161671
Copperas Cove Independent School District,52457,64220,61483,70462
Corpus Christi Independent School District,50157,66137,59546,75425
Corrigan-Camden Independent School District,39159,60132,44432,68330
Corsicana Independent School District,41773,56803,46387,62626
Cotton Center Independent School District,34688,48754,50833,58520
Cotulla Independent School District,37406,76183,44821,80712
Coupland Independent School District,75000,101966,73750,101911
Covington Independent School District,47303,68407,55795,77461
Crandall Independent School District,64621,74724,72578,81281
Crane Independent School District,60133,75704,75175,87690
Cranfills Gap Independent School District,49185,65148,65625,77460
Crawford Independent School District,72500,82266,79223,89621
Crockett County Consolidated Common School District,50646,63013,56910,75499
Crockett Independent School District,26689,40711,38258,53058
Crosby Independent School District,61922,77586,63629,83155
Crosbyton Consolidated Independent School District,36653,51377,43750,60911
Cross Plains Independent School District,32004,49317,51144,65014
Cross Roads Independent School District,48086,63791,49671,68267
Crowell Independent School District,47898,52928,54375,62278
Crowley Independent School District,61709,75524,71713,86150
Crystal City Independent School District,26446,37834,30847,39843
Cuero Independent School District,53224,76859,65034,83508
Culberson County-Allamoore Independent School District,33981,47380,38977,56137
Cumby Independent School District,51048,63273,62833,75728
Cushing Independent School District,54592,71365,76488,94021
Cypress-Fairbanks Independent School District,74415,96613,83784,106431
Daingerfield-Lone Star Independent School District,40352,56572,52969,63757
Dalhart Independent School District,55167,63417,64094,72428
Dallas Independent School District,44581,73980,46559,82957
Damon Independent School District,54231,60982,69773,72106
Danbury Independent School District,78029,85768,88315,92023
Darrouzett Independent School District,59792,76491,76667,87313
Dawson Independent School District,60139,61162,63750,65612
Dayton Independent School District,58504,68227,66202,77265
De Kalb Independent School District,45138,69863,52161,81823
De Leon Independent School District,34639,47196,42100,55998
Decatur Independent School District,63535,91836,67310,102263
Deer Park Independent School District,72386,86386,78165,92151
Del Valle Independent School District,41732,51961,46644,55458
Dell City Independent School District,26786,66728,58750,92567
Denison Independent School District,44129,59376,60465,72042
Denton Independent School District,61515,79603,80446,97390
Denver City Independent School District,56757,68082,70000,76488
DeSoto Independent School District,61765,74159,71856,80380
Detroit Independent School District,41458,50541,59722,61812
Devers Independent School District,54250,75802,62045,85772
Devine Independent School District,58064,64326,80500,82318
Dew Independent School District,38875,63746,73750,80318
Deweyville Independent School District,40216,48820,55000,59454
D'Hanis Independent School District,42500,76705,50625,92757
Diboll Independent School District,43652,53662,48500,56490
Dickinson Independent School District,65066,80788,80050,90066
Dilley Independent School District,45043,53612,47824,50860
Dime Box Independent School District,60451,67599,82404,81816
Dimmitt Independent School District,38689,64591,41442,70904
Divide Independent School District,67750,66048,73000,68440
Dodd City Independent School District,63594,72807,74632,81734
Donna Independent School District,27976,39646,29977,42203
Doss Consolidated Common School District,64000,90999,71875,92126
Douglass Independent School District,49722,70121,65551,78909
Dripping Springs Independent School District,110672,137248,118033,146853
Driscoll Independent School District,39539,46990,43897,49574
Dublin Independent School District,43727,56818,46318,63329
Dumas Independent School District,50575,61935,53709,66797
Duncanville Independent School District,50514,64338,58462,71780
Eagle Mt-Saginaw Independent School District,76505,90184,81171,95623
Eagle Pass Independent School District,37155,52479,41946,57123
Eanes Independent School District,131250,207293,176818,251195
Early Independent School District,48906,59884,61875,64379
East Bernard Independent School District,58750,73929,65909,80201
East Central Independent School District,59441,69265,65035,74763
