district,medianhouseholdincome,meanhouseholdincome,medianfamilyincome,meanfamilyincome
McAllen Independent School District,43669,65663,48559,70149
McCamey Independent School District,39550,61204,61094,73876
McDade Independent School District,55820,66262,57241,70098
McGregor Independent School District,42482,63596,57656,76694
McKinney Independent School District,78593,100223,94469,114247
McLean Independent School District,38798,53992,55833,61074
McLeod Independent School District,40625,60336,46875,74903
McMullen County Independent School District,57589,79916,59554,93898
Meadow Independent School District,55000,63513,50568,69313
Medina Independent School District,49973,76438,61786,86456
Medina Valley Independent School District,64375,83109,71075,92326
Melissa Independent School District,85164,104844,90882,111183
Memphis Independent School District,26821,42136,32500,50989
Menard Independent School District,37604,53452,48587,64612
Mercedes Independent School District,30342,43692,34005,47268
Meridian Independent School District,41125,56598,52368,65584
Merkel Independent School District,44779,60526,58262,70130
Mesquite Independent School District,49774,62425,54652,66923
Mexia Independent School District,35797,55322,44743,66727
Meyersville Independent School District,74000,86377,79205,92697
Miami Independent School District,70833,81029,79583,88262
Midland Independent School District,70766,102782,85238,117457
Midlothian Independent School District,88200,101740,95113,108871
Midway Independent School District (Clay County),53636,72557,75568,89903
Midway Independent School District (Jack County),53636,72557,75568,89903
Midway Independent School District (McLennan County),69577,85147,78035,95294
Milano Independent School District,42917,61161,57813,76100
Mildred Independent School District,69583,83304,79091,89565
Miles Independent School District,53618,65745,67500,72168
Milford Independent School District,47500,65392,54904,73369
Miller Grove Independent School District,62500,67608,70833,74868
Millsap Independent School District,56394,72866,67202,77412
Mineola Independent School District,48446,66303,53782,74252
Mineral Wells Independent School District,39169,54690,45890,59376
Mission Consolidated Independent School District,35121,47588,37550,51558
Monahans-Wickett-Pyote Independent School District,59250,74087,75742,90670
Montague Independent School District,44286,61829,48214,70810
Monte Alto Independent School District,38533,40435,43162,43606
Montgomery Independent School District,76089,110513,98669,133102
Moody Independent School District,56071,66745,61000,74606
Moran Independent School District,49375,57635,63281,68289
Morgan Independent School District,39712,60270,43125,65491
Morgan Mill Independent School District,54357,68676,64375,77699
Morton Independent School District,36513,47187,43906,57030
Motley County Independent School District,35577,48561,50833,64572
Moulton Independent School District,56328,82690,66406,93335
Mount Calm Independent School District,42750,49344,42750,52302
Mount Enterprise Independent School District,42935,53478,51071,61712
Mount Pleasant Independent School District,42984,56507,45695,60017
Mount Pleasant Independent School District (9-12) in Winfield,34833,49384,37045,52206
Mount Vernon Independent School District,44535,64965,60982,79495
Muenster Independent School District,71875,91831,88106,109727
Muleshoe Independent School District,39205,47108,43031,51190
Mullin Independent School District,40833,59557,65000,73215
Mumford Independent School District,44583,64245,64583,78052
Munday Consolidated Independent School District,37313,50654,60268,62692
Murchison Independent School District,42813,49813,46667,55091
Nacogdoches Independent School District,34934,53248,48799,68557
Natalia Independent School District,45350,58126,56676,62536
Navarro Independent School District,61538,76241,64030,79122
Navasota Independent School District,47474,61277,59063,72758
Nazareth Independent School District,58750,62273,62375,74511
Neches Independent School District,48889,63850,62411,70642
Nederland Independent School District,63594,84587,76056,91112
Needville Independent School District,68330,84484,75884,92568
New Boston Independent School District,41713,55111,55546,65938
New Braunfels Independent School District,62305,78646,74375,87447
New Caney Independent School District,60096,72730,63695,78684
New Deal Independent School District,50625,64333,53167,66807
New Diana Independent School District,51375,64538,66034,77266
New Home Independent School District,55000,73244,56250,76391
New Summerfield Independent School District,45688,52889,51087,57810
New Waverly Independent School District,55293,70661,75357,85961
Newcastle Independent School District,35956,48233,36667,52702
Newton Independent School District,33141,48698,45656,60033
Nixon-Smiley Consolidated Independent School District,43365,64481,50188,73072
Nocona Independent School District,34381,49291,45321,59385
Nordheim Independent School District,53750,86406,66500,94513
Normangee Independent School District,54464,74727,71667,90025
North East Independent School District,60625,81107,74804,95396
North Hopkins Independent School District,52414,72291,61033,80546
North Lamar Independent School District,55749,71907,62020,82840
North Zulch Independent School District,46708,62053,57273,71173
Northside Independent School District,53750,63070,65625,74721
Northwest Independent School District,91712,104495,100359,113313
Nueces Canyon Consolidated Independent School District,34850,49207,47734,62194
Nursery Independent School District,85368,94417,94038,109048
Oakwood Independent School District,36176,44897,44009,57068
Odem-Edroy Independent School District,51147,62691,55063,65749
O'Donnell Independent School District,37917,60210,48000,69077
Oglesby Independent School District,51786,61883,61250,70977
Olfen Independent School District,31875,51317,45000,68817
Olney Independent School District,44719,55182,52500,63518
Olton Independent School District,38073,54878,43542,62422
Onalaska Independent School District,42800,53059,48631,58385
Orange Grove Independent School District,57800,70635,66451,80368
Orangefield Independent School District,54323,76743,68652,84609
Ore City Independent School District,40526,50895,55448,65831
Overton Independent School District,50735,61260,57500,70870
Paducah Independent School District,33182,45336,44519,56388
Paint Creek Independent School District,40104,53664,42083,63999
Paint Rock Independent School District,52386,77212,58125,78655
Palacios Independent School District,38879,53254,49963,62496
Palestine Independent School District,36250,51921,46923,59967
Palmer Independent School District,61349,72754,62175,76113
Palo Pinto Independent School District,49545,92309,47163,78732
Pampa Independent School District,45538,59735,57142,70551
Panhandle Independent School District,62759,74971,73219,83880
Panther Creek Consolidated Independent School District,41667,50732,50536,60454
Paradise Independent School District,52688,70804,57386,81938
Paris Independent School District,32670,44612,41804,53753
Pasadena Independent School District,46619,58390,51225,63460
Patton Springs Independent School District,48333,55457,63125,67081
Pawnee Independent School District,53750,72586,63214,84583
Pearland Independent School District,93351,110094,103741,121405
Pearsall Independent School District,36998,61734,39621,70316
Peaster Independent School District,80147,87835,88750,97832
Pecos-Barstow-Toyah Independent School District,47038,61503,56767,66014
Penelope Independent School District,57250,65327,64167,71170
Perrin-Whitt Consolidated Independent School District,61250,74336,76923,87037
Perryton Independent School District,50168,71066,58553,81586
Petersburg Independent School District,48400,63275,53977,70211
Petrolia Consolidated Independent School District,47059,60648,57315,68981
Pettus Independent School District,47083,70761,48750,72078
Pewitt Consolidated Independent School District,32183,46746,40381,57895
Pflugerville Independent School District,70559,83383,77129,91886
Pharr-San Juan-Alamo Independent School District,36259,48864,39028,51400
Pilot Point Independent School District,61406,88560,68568,101192
Pine Tree Independent School District,49875,70055,55343,79729
Pittsburg Independent School District,39741,54121,46173,62397
Plains Independent School District,56103,74520,59167,77723
Plainview Independent School District,45073,54388,50864,62492
Plano Independent School District,81392,110285,103299,130296
Pleasant Grove Independent School District,73703,102477,83654,118623
Pleasanton Independent School District,60335,78664,62188,86940
Plemons-Stinnett-Phillips Consolidated Independent School District,45197,72106,49737,75533
Point Isabel Independent School District,37649,59073,48786,66786
Ponder Independent School District,68214,80229,86379,93386
Poolville Independent School District,46250,66543,56250,77564
Port Aransas Independent School District,50231,80445,63354,101362
Port Arthur Independent School District,32231,46045,40610,52620
Port Neches-Groves Independent School District,53098,69069,66390,80909
Post Independent School District,52935,71787,54277,76348
Poteet Independent School District,48037,65646,49814,72690
Poth Independent School District,64097,78230,76000,87276
Pottsboro Independent School District,54473,78932,74488,98865
Prairie Lea Independent School District,46429,64817,55781,81946
Prairie Valley Independent School District,46375,60601,64886,74604
Prairiland Independent School District,41460,52923,47743,59631
Premont Independent School District,33047,44324,37156,52866
Presidio Independent School District,24651,34714,33640,42581
Priddy Independent School District,39028,49070,43750,54475
Princeton Independent School District,53831,68493,64962,80195
Pringle-Morse Consolidated Independent School District,67500,100066,90500,115988
Progreso Independent School District,41960,54819,43640,56970
Prosper Independent School District,115813,136352,127105,147422
Quanah Independent School District,32050,42771,46364,58976
Queen City Independent School District,44922,57650,51786,66757
Quinlan Independent School District,46548,60102,58612,70896
Quitman Independent School District,44956,59688,56635,69385
Rains Independent School District,49980,57939,59279,67627
Ralls Independent School District,39148,47956,42429,53865
Ramirez Common School District,35833,42255,42969,44033
Randolph Field Independent School District,89643,98258,89375,98292
Ranger Independent School District,33384,42474,40291,49135
Rankin Independent School District,56944,75100,69464,79384
Raymondville Independent School District,28414,39509,28684,40418
Reagan County Independent School District,59257,71697,72260,78208
Red Lick Independent School District,74583,83250,79620,89872
Red Oak Independent School District,72778,85281,79299,92714
Redwater Independent School District,59760,71212,68794,78082
Refugio Independent School District,49459,58445,55176,63839
Remainder of Texas,55596,67710,56452,72900
Remainder of Texas,54727,77586,64586,88233
Remainder of Texas,54727,77586,64586,88233
Ricardo Independent School District,53466,74576,65795,80634
Rice Consolidated Independent School District,46062,63492,52198,65906
Rice Independent School District,44153,51889,50735,56914
Richards Independent School District,48889,58984,59861,65311
Richardson Independent School District,54405,83587,68721,100055
Richland Springs Independent School District,55313,63877,66908,74643
Riesel Independent School District,47417,54193,58304,64437
Rio Grande City Consolidated Independent School District,29306,46799,32342,50920
Rio Hondo Independent School District,37834,50586,40377,56345
Rio Vista Independent School District,47260,60597,59620,66824
Rising Star Independent School District,33269,44255,38942,53106
River Road Independent School District,54375,80767,71631,95142
Rivercrest Independent School District,41304,51431,51264,58708
Riviera Independent School District,59205,80709,67813,91694
Robert Lee Independent School District,42424,47599,59417,59496
Robinson Independent School District,75456,85014,81227,89125
Robstown Independent School District,35589,47441,41586,54327
Roby Consolidated Independent School District,41300,63985,48690,57279
Rochelle Independent School District,56250,90882,81250,88964
Rockdale Independent School District,36718,54014,54983,67857
Rocksprings Independent School District,38750,51907,58438,67554
Rockwall Independent School District,93047,113743,104979,126137
Rogers Independent School District,60144,71105,70432,83986
Roma Independent School District,22257,36241,24232,38583
Roosevelt Independent School District,54896,73252,57425,79042
Ropes Independent School District,60000,74628,62743,84184
Roscoe Collegiate Independent School District,55278,74725,64018,85200
Rosebud-Lott Independent School District,41597,53752,53590,61686
Rotan Independent School District,37618,57219,47500,73274
Round Rock Independent School District,78957,97481,95126,112496
Round Top-Carmine Independent School District,42473,84239,69632,109752
Roxton Independent School District,33438,44300,44779,55489
Royal Independent School District,44866,62328,55554,72517
Royse City Independent School District,73837,85013,82786,90005
Rule Independent School District,32500,46366,43000,54847
Runge Independent School District,48173,60155,66250,74544
Rusk Independent School District,40434,52851,48490,62712
S and S Consolidated Independent School District,60017,76624,70714,84525
Sabinal Independent School District,39363,54645,44050,60815
Sabine Independent School District,61548,72317,64795,77410
Sabine Pass Independent School District,40893,96740,65000,128313
Salado Independent School District,90797,104628,102706,116652
Saltillo Independent School District,44755,59655,53182,67443
Sam Rayburn Independent School District,53378,59728,65469,66905
San Angelo Independent School District,45900,64038,58777,74654
San Antonio Independent School District,32047,46127,37542,50954
San Augustine Independent School District,29694,43595,39583,52087
San Benito Consolidated Independent School District,26884,39759,31187,41746
San Diego Independent School District,24766,47697,38750,54100
San Elizario Independent School District,25539,35659,26777,35684
San Felipe-Del Rio Consolidated Independent School District,44124,59252,50583,64810
San Isidro Independent School District,37500,44979,39444,47928
San Marcos Consolidated Independent School District,35670,51220,51824,67911
San Perlita Independent School District,32750,51392,39107,62795
San Saba Independent School District,32556,42811,42589,52406
San Vicente Independent School District,53750,68253,77813,62634
Sands Consolidated Independent School District,46750,62064,54375,67095
Sanford-Fritch Independent School District,52448,65155,58184,75821
Sanger Independent School District,68403,85884,74836,97283
Santa Anna Independent School District,39500,69858,45714,69511
Santa Fe Independent School District,70341,83488,83364,92693
Santa Gertrudis Independent School District,42697,54538,42697,70074
Santa Maria Independent School District,26325,37160,27409,40917
Santa Rosa Independent School District,28806,45027,29000,46281
Santo Independent School District,52839,85595,75550,106916
Savoy Independent School District,42128,47819,48333,56589
Schertz-Cibolo-U City Independent School District,79006,89245,87229,97138
Schleicher Independent School District,59766,71265,69773,83767
Schulenburg Independent School District,46473,66359,60809,72446
Scurry-Rosser Independent School District,51361,66766,65560,81386
Seagraves Independent School District,44851,53870,49083,57340
Sealy Independent School District,62092,77259,71164,89046
Seguin Independent School District,46885,64027,60441,76187
Seminole Independent School District,60028,80280,65483,89300
Seymour Independent School District,34547,62709,52500,77456
Shallowater Independent School District,69150,81115,78725,90092
Shamrock Independent School District,46146,60930,51161,71921
Sharyland Independent School District,58646,82795,62867,88043
Shelbyville Independent School District,43500,63705,59329,80566
Sheldon Independent School District,50478,62733,50855,63827
Shepherd Independent School District,40035,55467,47480,63156
Sherman Independent School District,43562,57853,52390,68253
Shiner Independent School District,48224,75781,60313,89320
Sidney Independent School District,42500,64448,47500,71677
Sierra Blanca Independent School District,39250,51595,46071,55606
Silsbee Independent School District,41111,57100,52562,66046
Silverton Independent School District,48750,57990,52043,68124
Simms Independent School District,44938,53664,57679,59460
Sinton Independent School District,54518,62423,61264,69283
Sivells Bend Independent School District,70000,90487,88750,111774
Skidmore-Tynan Independent School District,43341,56871,46576,62506
Slaton Independent School District,42452,63465,54615,81216
Slidell Independent School District,65213,79219,67368,86029
Slocum Independent School District,41444,55612,50455,69183
Smithville Independent School District,52382,69843,69007,87588
Smyer Independent School District,44205,56455,56750,61853
Snook Independent School District,55833,69269,60909,77481
Snyder Independent School District,55375,68458,66352,80346
Socorro Independent School District,52474,63950,54539,66512
Somerset Independent School District,44328,52196,46875,54854
Somerville Independent School District,49063,57987,49877,59871
Sonora Independent School District,54567,70246,58343,72759
South San Antonio Independent School District,36688,45647,40669,48132
Southland Independent School District,38750,65496,57500,87202
Southside Independent School District,45927,54670,48868,58036
Southwest Independent School District,45213,53902,45883,55155
Spearman Independent School District,41086,57619,45179,65632
Splendora Independent School District,56024,68527,65027,76903
Spring Branch Independent School District,62935,119583,74346,138332
Spring Creek Independent School District,73036,75800,73571,80750
Spring Hill Independent School District,71230,89531,78086,97195
Spring Independent School District,52453,66403,58420,72148
Springlake-Earth Independent School District,50682,57664,58125,64641
Springtown Independent School District,58145,67048,64843,74749
Spur Independent School District,41654,55906,49750,65012
Spurger Independent School District,65349,66023,69464,74253
Saint Jo Independent School District,50481,71645,58684,77352
Stafford Municipal School District,59108,69173,66131,75495
Stamford Independent School District,45727,51326,48917,59945
Stanton Independent School District,60774,83451,74922,100889
Stephenville Independent School District,41340,55872,58291,75190
Stephenville Independent School District (9-12) in Bluff Dale,58750,71076,67500,80084
Sterling City Independent School District,50156,64502,65913,73612
Stockdale Independent School District,50847,64323,64886,72625
Stratford Independent School District,52433,66179,63625,75023
Strawn Independent School District,37679,57833,56389,81083
Sudan Independent School District,41450,62515,53063,73510
Sulphur Bluff Independent School District,58839,65337,68819,74967
Sulphur Springs Independent School District,43489,60304,52681,67315
Sundown Independent School District,49438,73898,68942,87581
Sunnyvale Independent School District,126250,145068,126707,146789
Sunray Independent School District,50859,66812,59205,75277
Sweeny Independent School District,54059,65823,72083,78851
Sweet Home Independent School District,61094,68198,68500,75949
Sweetwater Independent School District,37361,52125,50149,63542
Taft Independent School District,36699,53843,50625,61855
Tahoka Independent School District,40655,62828,55739,75247
Tarkington Independent School District,50038,62344,56118,66111
Tatum Independent School District,49316,66493,61953,75363
Taylor Independent School District,44947,59600,56829,69828
Teague Independent School District,48007,62527,51494,72422
Temple Independent School District,42715,57150,51583,67421
Tenaha Independent School District,31630,50213,41927,59448
Terlingua Common School District,28889,41307,52083,60152
Terrell County Independent School District,24821,45467,37321,65224
Terrell Independent School District,44706,61581,50362,68590
Texarkana Independent School District,33515,54652,42032,61331
Texas City Independent School District,44351,62990,51365,68346
Texhoma Independent School District,55625,85450,63611,100954
Texline Independent School District,57917,78991,72083,96956
Thorndale Independent School District,51014,66150,68750,79797
Thrall Independent School District,55938,77530,81691,94953
Three Rivers Independent School District,44964,62659,64141,77742
Three Way Independent School District,41991,56105,40833,52114
Throckmorton Independent School District,40882,63221,60000,79273
Tidehaven Independent School District,41806,61920,60511,74822
Timpson Independent School District,34931,49265,39714,54318
Tioga Independent School District,52393,67739,60417,74011
Tolar Independent School District,52581,71481,64464,85278
Tom Bean Independent School District,57188,78707,73750,89904
Tomball Independent School District,90579,115391,103221,127535
Tornillo Independent School District,31111,36604,31349,37710
Trent Independent School District,46319,63631,50000,71287
Trenton Independent School District,68346,70312,71207,75252
Trinidad Independent School District,29130,34130,32279,38483
Trinity Independent School District,35182,48918,41781,54513
Troup Independent School District,42852,53237,56198,63380
Troy Independent School District,59494,71856,72778,82534
Tulia Independent School District,34570,47686,46232,56141
Tuloso-Midway Independent School District,53348,72872,57377,80474
Turkey-Quitaque Independent School District,34531,56243,43667,65233
Tyler Independent School District,45081,65725,55679,78494
Union Grove Independent School District,67500,77126,75524,82285
Union Hill Independent School District,43417,55157,49167,64492
United Independent School District,49913,65621,51506,68508
Utopia Independent School District,53555,65370,59917,77364
Uvalde Consolidated Independent School District,38036,50358,45870,58154
Valentine Independent School District,52188,58446,64722,74181
Valley Mills Independent School District,57107,69954,63162,77177
Valley View Independent School District (Cooke County),62500,65846,72188,76897
Valley View Independent School District (Hidalgo County),35904,45080,36702,47155
Van Alstyne Independent School District,70766,80517,90991,94898
Van Independent School District,49358,63131,55656,72208
Van Vleck Independent School District,37145,51939,52417,66821
Vega Independent School District,52159,77705,66875,91274
Venus Independent School District,49171,58975,54022,61674
Veribest Independent School District,57426,63435,66477,69644
Vernon Independent School District,43118,52610,54573,59689
Victoria Independent School District,55130,74378,64112,82282
Vidor Independent School District,46014,61298,55595,69805
Vysehrad Independent School District,65000,81063,54650,86662
Waco Independent School District,30424,45378,40211,55401
Waelder Independent School District,47000,70386,48929,78739
Walcott Independent School District,81500,81292,83125,84198
Wall Independent School District,77303,96995,83095,102222
Waller Independent School District,66598,82736,71491,88276
Walnut Bend Independent School District,33333,65919,33333,81725
Walnut Springs Independent School District,41023,54001,45750,58731
Warren Independent School District,58373,69531,70438,77876
Waskom Independent School District,43875,57338,46157,53142
Water Valley Independent School District,49904,65950,58558,76968
Waxahachie Independent School District,59886,75583,68501,83735
Weatherford Independent School District,61649,78015,71038,88696
Webb Consolidated Independent School District,50341,64924,53000,72160
Weimar Independent School District,58536,84877,77813,110050
Wellington Independent School District,40724,55250,47070,62557
Wellman-Union Consolidated Independent School District,42656,57956,56250,63629
Wells Independent School District,36292,52189,43750,55015
Weslaco Independent School District,32850,47100,37285,50318
West Hardin County Consolidated Independent School District,46682,56872,56587,63967
West Independent School District,58737,66346,68250,76558
West Orange-Cove Consolidated Independent School District,40960,57731,52393,67282
West Oso Independent School District,36822,42849,43444,45300
West Rusk County Consolidated Independent School District,45724,53041,49970,57466
West Sabine Independent School District,29932,43136,34091,54373
Westbrook Independent School District,56838,71057,75417,86149
Westhoff Independent School District,52500,90781,46250,78513
Westphalia Independent School District,57500,64124,70125,74251
Westwood Independent School District,48587,60996,51007,61588
Wharton Independent School District,40091,49976,50142,58075
Wheeler Independent School District,52742,70453,53427,69128
White Deer Independent School District,68750,79337,75417,91941
White Oak Independent School District,56345,66715,57255,69038
White Settlement Independent School District,58648,71480,67040,83457
Whiteface Consolidated Independent School District,49432,74980,61667,77573
Whitehouse Independent School District,61706,77195,73177,87040
Whitesboro Independent School District,53832,62269,65947,72161
Whitewright Independent School District,49891,71722,60000,77773
Whitharral Independent School District,44922,58685,55417,67846
Whitney Independent School District,40571,56629,55472,66128
Wichita Falls Independent School District,42038,60207,55997,74441
Wildorado Independent School District,56250,72495,55625,67611
Willis Independent School District,58555,78068,67133,88244
Wills Point Independent School District,43235,64849,50445,75122
Wilson Independent School District,35909,47368,40962,50347
Wimberley Independent School District,67983,92650,78414,108541
Windthorst Independent School District,63214,72586,71944,82243
Winfield Independent School District,34833,49384,37045,52206
Wink-Loving Independent School District,73125,82857,84375,90937
Winnsboro Independent School District,37172,60514,52463,75893
Winona Independent School District,50500,62338,62208,71765
Winters Independent School District,41139,57312,57717,68664
Woden Independent School District,54693,74671,56480,74929
Wolfe City Independent School District,43860,56947,56471,63599
Woodsboro Independent School District,57656,67324,69234,75109
Woodson Independent School District,33929,48358,65500,70608
Woodville Independent School District,38533,46416,45058,55034
Wortham Independent School District,40489,56021,45833,61270
Wylie Independent School District (Collin County),87319,98048,97056,104422
Wylie Independent School District (Taylor County),78683,96763,89452,104932
Yantis Independent School District,52194,72590,56638,79005
Yoakum Independent School District,44343,59009,47820,66077
Yorktown Independent School District,40161,83540,70208,118707
Ysleta Independent School District,37899,49617,42383,53779
Zapata County Independent School District,36976,48565,39758,53114
Zavalla Independent School District,37610,47238,43828,52137
Zephyr Independent School District,44563,74508,56875,76464
